scntfcN,taxnRnk,kingdom,order,family,genus,species
"Atopsyche irregulare Banks, 1913",SPECIES,Animalia,Trichoptera,Hydrobiosidae,Atopsyche,Atopsyche irregulare
"Steremnia umbracina Butler, 1873",SPECIES,Animalia,Lepidoptera,Nymphalidae,Steremnia,Steremnia pronophila
"Steroma modesta Weymer, 1911",SPECIES,Animalia,Lepidoptera,Nymphalidae,Steroma,Steroma modesta
"Lasiophila circe Felder, 1859",SPECIES,Animalia,Lepidoptera,Nymphalidae,Lasiophila,Lasiophila circe
"Punapedaliodes albopunctata Weymer, 1890",SPECIES,Animalia,Lepidoptera,Nymphalidae,Punapedaliodes,Punapedaliodes albopunctata
"Corades cistene Hewitson, 1863",SPECIES,Animalia,Lepidoptera,Nymphalidae,Corades,Corades cistene
"Punargentus lamna Thieme, 1904",SPECIES,Animalia,Lepidoptera,Nymphalidae,Punargentus,Punargentus lamna
"Oleria quintina (C.Felder & R.Felder, 1865)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Oleria,Oleria quintina
"Catasticta cora (Lucas, 1852)",SPECIES,Animalia,Lepidoptera,Pieridae,Catasticta,Catasticta cora
"Marpesia petreus (Cramer, 1776)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Marpesia,Marpesia petreus
"Asterope leprieuri (Feisthamel, 1835)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Asterope,Asterope leprieuri
"Doxocopa agathina (Cramer, 1777)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Doxocopa,Doxocopa agathina
"Pedaliodes porina Hewitson, 1862",SPECIES,Animalia,Lepidoptera,Nymphalidae,Pedaliodes,Pedaliodes porina
Ancyluris meliboeus eudaemon,SUBSPECIES,Animalia,NA,NA,Ancyluris,Ancyluris meliboeus
"Lymanopoda melia Weymer, 1911",SPECIES,Animalia,Lepidoptera,Nymphalidae,Lymanopoda,Lymanopoda nivea
Pronophila cordillera Westwood,SPECIES,Animalia,Lepidoptera,Nymphalidae,Pronophila,Pronophila cordillera
"Heliconius melpomene (Linnaeus, 1758)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Heliconius,Heliconius melpomene
"Panyapedaliodes mara Thieme, 1905",SPECIES,Animalia,Lepidoptera,Nymphalidae,Panyapedaliodes,Panyapedaliodes mara
"Lymanopoda eubagioides Butler, 1873",SPECIES,Animalia,Lepidoptera,Nymphalidae,Lymanopoda,Lymanopoda eubagioides
